name,price,total_price,distributor,has_voucher
Mega Princess,35.0,45.0,VERITAS MARKETING,False
Cadbury Dairy Milk,5.0,9.0,BENSONS TRADING CO PTY LTD,False
Cadbury Freddo,5.0,6.6,BENSONS TRADING CO PTY LTD,False
Cadbury Twirl,5.0,7.2,BENSONS TRADING CO PTY LTD,False
Bag of Bubbles,15.0,28.7,SHOWBAGS AUSTRALIA PTY LD,False
Tim Tam,18.0,44.5,CHICANE MARKETING PTY LTD,False
Milkybar ($6 each OR 3 for $15 Range),6.0,7.4,CHICANE MARKETING PTY LTD,False
Smarties ($6 each OR 3 for $15 Range),6.0,7.4,CHICANE MARKETING PTY LTD,False
Darrell Lea Block Out,25.0,30.0,VERITAS MARKETING,False
Barbie Dreamtopia,32.0,70.6,BENSONS TRADING CO PTY LTD,False
Avengers Bag,30.0,43.75,HUNTER LEISURE P/L,False
Allen's Lollies,15.0,15.0,CHICANE MARKETING PTY LTD,False
BIG Smarties,20.0,18.0,CHICANE MARKETING PTY LTD,False
Mega Builder,35.0,40.0,VERITAS MARKETING,False
Mega Dinosaur,35.0,70.0,VERITAS MARKETING,False
Rick And Morty,32.0,84.5,BENSONS TRADING CO PTY LTD,False
Kangaroo Beach Bag,20.0,37.85,HUNTER LEISURE P/L,False
AFL Richmond Showbag,30.0,82.91,CHICANE MARKETING PTY LTD,False
Gudetama,32.0,76.55,BENSONS TRADING CO PTY LTD,False
Men's Style,32.0,385.33,CHICANE MARKETING PTY LTD,True
Rude Dudes,5.0,9.35,SHOWBAGS AUSTRALIA PTY LD,False
Rainbocorns,32.0,67.55,BENSONS TRADING CO PTY LTD,False
Ultimate Fidgets,32.0,82.5,BENSONS TRADING CO PTY LTD,False
Snakes Alive ($6 each OR 3 for $15 Range),6.0,6.0,CHICANE MARKETING PTY LTD,False
K Zone magazine,20.0,85.39,C&C MARKETING,False
LULU - one who is remarkable and wonderful,32.0,132.62,C&C MARKETING,False
AFL Collingwood Showbag,30.0,87.91,CHICANE MARKETING PTY LTD,False
NERF Super Soaker,30.0,65.92,CHICANE MARKETING PTY LTD,False
Cadbury Favourites,20.0,26.2,BENSONS TRADING CO PTY LTD,False
SKITTLES Super Bag,12.0,20.8,HUNTER LEISURE P/L,False
Fyna Licorice Bag,12.5,16.0,HUNTER LEISURE P/L,False
Ninja Power,25.0,44.8,SHOWBAGS AUSTRALIA PTY LD,False
Snickers® Regular,6.0,6.5,HUNTER LEISURE P/L,False
